CUDA is supported
Model on CUDA? True
data prepated, start to train.
val 0 tensor(0.6912, device='cuda:0')
Epoch 1, average minibatch 0 loss: 0.018590
val 50 tensor(0.2231, device='cuda:0')
Epoch 1, average minibatch 50 loss: 0.399734
val 100 tensor(0.2223, device='cuda:0')
Epoch 1, average minibatch 100 loss: 0.361331
val 150 tensor(0.2181, device='cuda:0')
Epoch 1, average minibatch 150 loss: 0.359245
val 200 tensor(0.2205, device='cuda:0')
Epoch 1, average minibatch 200 loss: 0.354111
val 250 tensor(0.2164, device='cuda:0')
Epoch 1, average minibatch 250 loss: 0.350002
Epoch 1, average minibatch 300 loss: 0.364473
Epoch 1, average minibatch 350 loss: 0.356866
val 400 tensor(0.2276, device='cuda:0')
Epoch 1, average minibatch 400 loss: 0.357528
Epoch 1, average minibatch 450 loss: 0.347211
Epoch 1, average minibatch 500 loss: 0.343449
Epoch 1, average minibatch 550 loss: 0.351630
val 600 tensor(0.2185, device='cuda:0')
Epoch 1, average minibatch 600 loss: 0.348305
Epoch 1, average minibatch 650 loss: 0.343904
Epoch 1, average minibatch 700 loss: 0.349779
Epoch 1, average minibatch 750 loss: 0.349830
val 800 tensor(0.2036, device='cuda:0')
Epoch 1, average minibatch 800 loss: 0.349415
Epoch 1, average minibatch 850 loss: 0.343809
Epoch 1, average minibatch 900 loss: 0.338452
Epoch 1, average minibatch 950 loss: 0.346542
val 1000 tensor(0.2137, device='cuda:0')
Epoch 1, average minibatch 1000 loss: 0.344279
Epoch 1, average minibatch 1050 loss: 0.341421
Epoch 1, average minibatch 1100 loss: 0.331070
Epoch 1, average minibatch 1150 loss: 0.343196
val 1200 tensor(0.2136, device='cuda:0')
Epoch 1, average minibatch 1200 loss: 0.340908
Epoch 1, average minibatch 1250 loss: 0.343203
Epoch 1, average minibatch 1300 loss: 0.343879
Epoch 1, average minibatch 1350 loss: 0.337850
val 1400 tensor(0.2078, device='cuda:0')
Epoch 1, average minibatch 1400 loss: 0.336753
Epoch 1, average minibatch 1450 loss: 0.335611
Epoch 1, average minibatch 1500 loss: 0.337038
Epoch 1, average minibatch 1550 loss: 0.344762
val 1600 tensor(0.2046, device='cuda:0')
Epoch 1, average minibatch 1600 loss: 0.340688
Epoch 1, average minibatch 1650 loss: 0.334772
Epoch 1, average minibatch 1700 loss: 0.343471
Epoch 1, average minibatch 1750 loss: 0.336113
val 1800 tensor(0.2151, device='cuda:0')
Epoch 1, average minibatch 1800 loss: 0.340825
Epoch 1, average minibatch 1850 loss: 0.337330
Epoch 1, average minibatch 1900 loss: 0.337303
Epoch 1, average minibatch 1950 loss: 0.341082
val 2000 tensor(0.2019, device='cuda:0')
Epoch 1, average minibatch 2000 loss: 0.334262
Epoch 1, average minibatch 2050 loss: 0.334101
Epoch 1, average minibatch 2100 loss: 0.332677
Epoch 1, average minibatch 2150 loss: 0.335027
val 2200 tensor(0.2044, device='cuda:0')
Epoch 1, average minibatch 2200 loss: 0.334517
Epoch 1, average minibatch 2250 loss: 0.336905
Epoch 1, average minibatch 2300 loss: 0.332116
Epoch 1, average minibatch 2350 loss: 0.332749
val 2400 tensor(0.1989, device='cuda:0')
Epoch 1, average minibatch 2400 loss: 0.333733
Epoch 1, average minibatch 2450 loss: 0.339545
Epoch 1, average minibatch 2500 loss: 0.339280
Finished 1 epochs of training
val 0 tensor(0.2045, device='cuda:0')
Epoch 2, average minibatch 0 loss: 0.006369
Epoch 2, average minibatch 50 loss: 0.330967
Epoch 2, average minibatch 100 loss: 0.335435
Epoch 2, average minibatch 150 loss: 0.328142
val 200 tensor(0.2132, device='cuda:0')
Epoch 2, average minibatch 200 loss: 0.334899
Epoch 2, average minibatch 250 loss: 0.334836
Epoch 2, average minibatch 300 loss: 0.328606
Epoch 2, average minibatch 350 loss: 0.328433
val 400 tensor(0.2014, device='cuda:0')
Epoch 2, average minibatch 400 loss: 0.328703
Epoch 2, average minibatch 450 loss: 0.336401
Epoch 2, average minibatch 500 loss: 0.339128
Epoch 2, average minibatch 550 loss: 0.331154
val 600 tensor(0.2052, device='cuda:0')
Epoch 2, average minibatch 600 loss: 0.333091
Epoch 2, average minibatch 650 loss: 0.331220
Epoch 2, average minibatch 700 loss: 0.330363
Epoch 2, average minibatch 750 loss: 0.325844
val 800 tensor(0.2048, device='cuda:0')
Epoch 2, average minibatch 800 loss: 0.328555
Epoch 2, average minibatch 850 loss: 0.333640
Epoch 2, average minibatch 900 loss: 0.331950
Epoch 2, average minibatch 950 loss: 0.329360
